SSN,Network,Station,Longitude_s,Latitude_s,Site.Name,Vs30(m/s),Geological_U
100200,AZ,PFO,-116.4594,33.6117,"Pinyon Flats Observatory, CA, USA",724.8905763,crystalline
100173,AZ,KNW,-116.7119,33.7141,"Keenwild Fire Station, Mountain Center, CA, USA",845.4114892,crystalline
63,CI,RIN,-118.47925,34.28196,Rinaldi,332.817626,Qal3
100112,CI,JVA,-116.61266,34.36622,Johnson Valley,382.9892845,Qal3
100118,CI,LUG,-117.36683,34.3656,Lugo,370.9605434,Qal3
100114,CI,LDR,-118.34156,34.9906,Leduc Ranch,377.4130375,Qoa
3079,CI,PLM,-116.86265,33.35361,Palomar,465.1461472,crystalline
100393,CI,SBB2,-117.82424,34.68844,Saddleback Butte State Park,1131.19414,Qal3
100107,CI,FMP,-118.29381,33.71264,Fort Macarthur Park,275.8831345,Tsh
100091,CI,BEL,-115.9982,34.0006,Belle Mountain Joshua Tree,795.8542856,crystalline
3088,CI,SLR,-116.79737,33.83359,Skyland Ranch,470.6051327,crystalline
100410,CI,TUQ,-115.92389,35.43584,Turquoise Mountain,818.6406427,crystalline
100177,CI,LDF,-115.18416,35.13066,Lanfair,452.4657841,Qoa
3091,CI,STG,-117.76856,33.664,Santiago,273.8034502,Qal2
3039,CI,BBS,-116.98058,33.92139,Beaumont Base,340.8158457,Qoa
100343,CI,MPI,-119.1453,34.81258,Mount Pinos,496.2023736,crystalline
100166,CI,DAN,-115.38115,34.63745,Danby,477.2846546,Qal3
3087,CI,SLB,-115.86643,33.48519,Salton Beach,336.5758826,Qal3
100174,CI,LAF,-118.33143,33.86889,La Fresa,257.2185745,Qoa
3069,CI,MSC,-116.64795,34.03852,Mission Creek,377.5113993,crystalline
100180,CI,LJR,-118.86775,34.80762,Lone Juniper Ranch,303.3813481,crystalline
100549,CI,SMM,-119.99581,35.3142,Simmler,224.7202329,Qal1
100164,CI,CGO,-117.80295,36.5504,Cerro Gordo,715.4989693,crystalline
100551,CI,MLAC,-118.83605,37.63019,Mammoth,305.9080554,Tv
100283,CI,VCS,-118.11781,34.48372,Vincent,405.0384457,Qoa
100326,CI,BCW,-119.41313,34.94009,Bitter Creek Wildlife,305.0583898,Tss
100605,CI,BHP,-118.36171,33.99053,Baldwin Hills,298.6660129,QT
100426,CI,PDU,-117.63808,34.1207,Padua,423.1183784,Qal3
100195,CI,GRA,-117.36621,36.99608,Grapevine Ranger Station,386.0740772,Tv
1148,CI,GR2,-118.30024,34.11816,Griffith Observatory,417,crystalline
3040,CI,BC3,-115.45366,33.65515,Big Chuckawalla Mtns,877.626292,crystalline
80000064,CI,IDO,-116.22152,33.79678,Indio Hill,557.1386919,Qoa
3089,CI,SNO,-116.80778,34.03515,Snow Peak,503.3254787,crystalline
100327,CI,CAR,-119.84583,35.30819,Carrizo Plain,309.7629587,QT
3084,CI,SBPX,-117.23484,34.2324,Strawberry Peak,418.4210865,crystalline
100282,CI,PASC,-118.18523,34.17141,Art Center College of Design (GSN-affiliate),714.2177895,crystalline
100272,CI,ISA,-118.47403,35.66278,Isabella,644.1469802,Qal3
100089,CI,ARV,-118.83009,35.1269,Arvin,353.573036,Tss
100088,CI,ADO,-117.43391,34.55046,Adelanto Receiving,375.7322731,Qal2
100134,CI,WBS,-118.14035,35.53664,Bird Spring,402.086973,crystalline
3058,CI,FHO,-116.93588,34.09355,Forest Home - SOSAF Station,415.6900754,crystalline
100385,CI,PMD,-116.37769,33.64785,Palm Desert,786.2143842,crystalline
100106,CI,EDW2,-117.99388,34.8811,Edwards 2,1242.063459,crystalline
100198,CI,MTP,-115.5532,35.48434,Mountain Pass,956.228551,crystalline
100092,CI,BFS,-117.65853,34.23883,Mt. Baldy Ranger Station,500.3771405,crystalline
100431,CI,PLS,-117.60906,33.7953,Pleasants Peak,698.9907368,crystalline
100101,CI,DJJ,-118.45505,34.10618,Donna Jones Jenkins,595.7062033,crystalline
100460,CI,OLI,-117.92372,33.94539,Olinda,328.1291221,Tsh
100442,CI,TFT,-119.41946,35.14592,Taft,332.1645066,Qoa
100274,CI,HLL,-118.35967,34.17643,North Hollywood,304,Qal2
3090,CI,SRN,-117.78938,33.82854,Serrano,260.945127,Tss
100165,CI,CLC,-117.59751,35.81574,China Lake,1226.770386,Qal3
80000175,CI,VOG,-119.38226,36.32098,Valley Oaks Golf Course,341.2942218,Qal1
1592,CI,HEC,-116.335,34.8294,Hector,726.6020339,crystalline
100090,CI,BAK,-119.10445,35.34444,Calstate Bakersfield,275.0842747,Qal1
100268,CI,SHO,-116.27515,35.8996,Shoshone,356.3421588,Qoa
3049,CI,CHN,-117.68044,33.99879,Chino,291.9610182,Qal2
100543,CI,BBR,-116.92075,34.2623,Big Bear Solar Observatory,356.3172441,Qal3
100395,CI,TA2,-117.67822,34.38203,Table Mountain,606.6451062,crystalline
3054,CI,DNR,-116.63056,33.56667,Dunn Ranch,360.4644053,Qal3
2000736,CI,SLA,-117.28332,35.89095,Slate Mountain,481.729938,Tv
100111,CI,GSC,-116.80574,35.30177,Goldstone,679.0673663,Qal3
3042,CI,BLA2,-116.38993,34.06931,Black Rock Canyon Campground 2,523.2505019,Qoa
100609,CI,LPC,-117.54642,34.31478,Lone Pine Canyon,514.4000279,Qal3
100184,CI,RRX,-116.99684,34.87533,Edison Barstow Service Cntr 30553 Rimrock Rd,372.0624677,Qal3
100096,CI,CHF,-118.02585,34.33341,Chilao Flat Rngr Sta,1015.75299,crystalline
100055,CI,VES,-119.08469,35.84089,Vestal,392.3654628,QT
100163,CI,CCC,-117.36453,35.52495,Christmas Canyon China Lake,431.8677748,QT
100183,CI,MPP,-119.81362,34.88848,Mcpherson Peak,521.9135975,Tss
100322,CI,TIN,-118.23009,37.05422,Tinemaha,421.0411662,Qal3
100094,CI,BTP,-118.57398,34.68224,Burnt Peak,461.4037454,crystalline
3096,CI,WWC,-116.40876,33.94068,West Wide Canyon,586.5622582,crystalline
3073,CI,NSS2,-115.94586,33.55553,North Shore Salton Sea 2,351.6746662,Qal3
100308,CI,NBS,-116.55798,34.78035,Newberry Springs,419.2902514,Qal3
100194,CI,FUR,-116.86322,36.46719,Furnace Creek,432.6058511,QT
100438,CI,SPG2,-118.76624,36.20057,Springville 2,921.9175028,crystalline
100193,CI,CWC,-118.08016,36.43988,Cottonwood Creek,579.6484319,crystalline
100172,CI,JRC2,-117.80885,35.98249,Joshua Ridge: China Lake,623.2624113,crystalline
100415,NC,MMLB,-118.979065,37.659092,Mammoth Lakes Knolls,316.8178665,Tv
100133,CI,TEH,-118.42079,35.2913,Cattani Ranch,838.7174506,Qoa
100288,CI,NEE2,-114.61881,34.76759,Needles Airport,396.2780461,Qoa
100541,CI,ALP,-118.29946,34.68708,Antelope,347.066201,Qal3
100333,CI,SMW,-120.40997,35.01108,Santa Maria Wineman,676.3460994,Tss
100533,CI,FIG,-119.98803,34.72832,Figueroa Mountain,489.2149222,KJf
100550,CI,LCP,-120.27996,34.73551,Los Alamos County Park,262.7072987,Qal3
100545,CI,RSS,-117.32674,33.97327,Riverside Surface,358.1723721,Qoa
100356,CI,PHL,-120.54556,35.40773,Park Hill,406.144687,crystalline
100070,CI,SBI,-119.02986,33.48046,Santa Barbara Island,850.4009505,Tss
100328,CI,GATR,-120.50235,34.55266,GATR Compound,338.4021474,Tsh
100439,CI,SBC,-119.71492,34.44076,Santa Barbara,484.8078075,Tsh
100286,CI,SCZ2,-119.6351,33.99543,Santa Cruz Island 2,313.0827716,Tsh
100373,CI,SYP,-119.97834,34.52775,Santa Ynez Peak,440.3440432,Tss
100117,CI,LRL,-117.68212,35.47954,Laurel Mtn,510.9510545,Qoa
100263,CI,NJQ,-120.17737,34.53412,Nojoqui County Park,295.1574455,Qal3
100097,CI,CIA,-118.415021,33.401898,Catalina Island Airport,505.0926666,sp
100266,CI,SCI2,-118.54697,32.9799,San Clemente Island 2,442.3102644,Qoa
100400,CI,SWS,-115.79988,32.94508,Sam W. Stewart,554.9535484,crystalline
3055,CI,DPP,-116.94187,32.99889,Dos Picos County Park,610.9862095,crystalline
3061,CI,GLA,-114.82706,33.05149,Glamis,743.1927221,Tv
3082,CI,RXH,-115.62257,33.18313,Rock Hill,308.958677,Qal2
3046,CI,BOR,-116.41716,33.2682,Borrego Springs,618.5867759,crystalline
3056,CI,DRE,-115.44679,32.80532,Desert Research Extended Center,195.4049026,Qal1
3076,CI,OLP,-116.93019,32.60771,Otay Lakes Park,489.1655392,Tv
100542,CI,BAR,-116.67215,32.68005,Barrett,511.2558104,crystalline
3052,CI,CTC,-115.99006,33.65516,Cactus City,370.5564903,Qoa
3045,CI,BOM,-115.72963,33.36465,Bombay Beach,197.0123525,Qal2
100296,CI,SDG,-117.13805,32.784,San Diego Mission Control,442.2700356,Qoa
3057,CI,EML,-116.84566,32.89083,El Monte County Park,805,Tv
100168,CI,IRM,-115.14513,34.15738,Iron Mountain,981.241063,crystalline
3044,CI,BLY,-114.52375,33.7503,Blythe,1044.215512,crystalline
100109,CI,GOR,-117.22921,33.1537,Green Oak Ranch,559.2740779,crystalline
100135,CI,WES,-115.73161,32.75904,Westside Elementary School,241.7275906,Qal1
100341,CI,SAL,-115.98585,33.2801,Salton City,253.2579469,Qal3
3086,CI,SDR,-116.94241,32.73561,San Diego Road Dept,827,crystalline
80000165,CI,THM,-116.07734,33.65066,Thermal Canyon,451.567795,Qoa
3063,CI,JEM,-116.59755,33.08098,Julian Eagle Mine,498.4882776,crystalline
80000063,CI,IKP,-116.10948,32.65012,In-Ko-Pah,1057.436148,crystalline
100361,NC,PAGB,-120.249863,35.730652,Antelope Grade,322.0896435,sp
100167,CI,ERR,-115.82267,33.11675,Elmore's Ranch,238.7275125,Qoa
